"full_name","url","description","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"43South/tasmaniada","https://github.com/43South/tasmaniada","scrapers for Tasmanian councils for planningalerts.org.au","Python","2","1","False","2021-09-18T08:21:14Z","2024-03-21T01:19:13Z","2021-10-01T08:32:33Z",""
"mdsumner/tasmapr","https://github.com/mdsumner/tasmapr","Get Tasmania map server layers via mapview","R","2","1","False","2017-06-08T14:23:07Z","2019-11-14T02:15:13Z","2019-11-14T02:15:11Z",""
"willemolding/penguin-tracks-vis","https://github.com/willemolding/penguin-tracks-vis","A visualisation of Little Penguin feeding behaviour in southern Tasmania","JavaScript","3","0","False","2016-02-15T04:10:15Z","2016-11-08T11:14:53Z","2016-03-02T00:48:35Z",""
"fredpaw/store","https://github.com/fredpaw/store","tasmania store","PHP","0","1","False","2015-11-20T03:59:02Z","2015-11-20T07:16:06Z","2015-12-23T05:10:22Z",""
"Tasmaniandevil08/Tasmaniandevil420","https://github.com/Tasmaniandevil08/Tasmaniandevil420",,,"0","0","False","2023-01-18T06:41:01Z","2025-05-09T03:29:17Z","2023-01-18T06:41:01Z",""
"Sanj-eevv/tasmanianOyster","https://github.com/Sanj-eevv/tasmanianOyster",,"JavaScript","0","0","False","2024-04-03T14:04:59Z","2024-05-15T15:07:42Z","2024-05-15T15:07:36Z",""
"aynik/tasmania","https://github.com/aynik/tasmania","A typed action-based state machine","TypeScript","0","0","False","2020-04-11T15:01:13Z","2021-11-12T12:14:04Z","2023-03-06T16:41:35Z","state-machine;typescript"
"geury23/tasmania","https://github.com/geury23/tasmania",,,"1","0","False","2020-07-26T06:01:31Z","2020-07-26T06:05:43Z","2020-07-26T06:01:32Z",""
"kaseykhanhpham/eucalyptus-hybrid-resequencing","https://github.com/kaseykhanhpham/eucalyptus-hybrid-resequencing","Pipeline for analysis of project resequencing introgressant Eucalyptus globulus and Eucalyptus cordata in Tasmania","Shell","5","0","False","2022-05-28T02:34:10Z","2026-02-08T02:26:14Z","2026-02-08T02:26:10Z",""
"FCMAP/qgis2web_2024_03_29-12_15_36_411992","https://github.com/FCMAP/qgis2web_2024_03_29-12_15_36_411992","tasmania_test","JavaScript","0","0","False","2024-03-29T11:29:09Z","2024-03-29T12:54:43Z","2024-03-29T11:43:42Z",""
"RealDeuce/TasmanianStrategical","https://github.com/RealDeuce/TasmanianStrategical","Tasmanian Strategical BBS DOOR Game (circa 1993-1995)",,"1","0","False","2019-10-31T06:17:15Z","2023-12-17T04:47:25Z","2019-10-13T04:18:11Z",""
"frihaka/TASmania","https://github.com/frihaka/TASmania","Pipeline to build a Database for Bacterial Toxin-Antitoxin Systems (TAS)",,"0","0","False","2017-12-05T11:01:37Z","2019-11-21T08:34:35Z","2019-10-30T09:43:33Z",""
"roopashri179/tasmania","https://github.com/roopashri179/tasmania",,,"0","0","False","2021-11-03T09:26:23Z","2021-11-03T09:26:23Z","2021-11-03T09:26:24Z",""
"stubbiali/tasmania","https://github.com/stubbiali/tasmania","A Python library for building and running Earth system science models using GridTools4Py","Python","1","0","False","2018-03-01T07:32:23Z","2024-06-05T11:10:07Z","2024-06-03T05:01:24Z","atmospheric-modelling;numerics"
"Tasmania13/Tasmania13","https://github.com/Tasmania13/Tasmania13","Config files for my GitHub profile.",,"0","0","False","2021-07-23T12:22:09Z","2021-07-23T12:22:09Z","2021-07-23T12:22:09Z","config;github-config"
"JeremyKoolios/TASmaniaConcept","https://github.com/JeremyKoolios/TASmaniaConcept","A proof of concept for MERN that hosts TAS leadboards for Trackmania Campaign tracks","JavaScript","0","0","False","2022-02-27T11:42:04Z","2022-02-27T11:42:11Z","2022-02-27T12:00:50Z",""
"fredpaw/tasmania","https://github.com/fredpaw/tasmania","tasmania website","PHP","0","0","False","2015-08-28T04:07:51Z","2016-08-30T06:35:19Z","2016-09-02T05:51:20Z",""
"TasmaniaVloz/TasmaniaVloz","https://github.com/TasmaniaVloz/TasmaniaVloz","Config files for my GitHub profile.",,"0","0","False","2022-07-15T23:25:35Z","2022-07-15T23:25:35Z","2022-07-15T23:25:35Z","config;github-config"
"TheDarkPanther/TasmaniaMap","https://github.com/TheDarkPanther/TasmaniaMap","Tasmania map 1:40 scale",,"0","0","False","2025-03-12T23:54:50Z","2025-03-12T23:54:54Z","2025-03-12T23:54:51Z",""
"tay-logan/TasmanianHopper","https://github.com/tay-logan/TasmanianHopper","Taylor Logan & team Game Design Project 2023","ShaderLab","0","0","False","2024-02-05T19:27:15Z","2024-02-05T19:33:05Z","2024-02-05T19:31:35Z",""
"the-domains/tasmania","https://github.com/the-domains/tasmania",,,"0","0","False","2015-11-22T23:31:18Z","2015-11-22T23:31:18Z","2016-09-06T03:30:48Z",""
"kendfrey/TASmania","https://github.com/kendfrey/TASmania",,"C#","1","0","False","2020-05-31T21:20:30Z","2020-06-03T22:58:05Z","2022-12-08T10:34:59Z",""
"bob313/Tasmania","https://github.com/bob313/Tasmania","Predicting category column based on previous data","Jupyter Notebook","0","0","False","2019-06-13T13:15:14Z","2019-06-13T13:15:24Z","2019-06-13T13:15:23Z",""
"Silvia-Du/tasmania","https://github.com/Silvia-Du/tasmania",,"PHP","0","0","False","2022-08-18T16:30:45Z","2022-08-18T16:30:54Z","2022-08-20T14:25:15Z",""
"dentalimplanttasmania/dental-implants-tasmania12","https://github.com/dentalimplanttasmania/dental-implants-tasmania12",,"HTML","0","0","False","2025-08-30T10:39:37Z","2025-08-30T10:40:50Z","2025-08-30T10:40:47Z",""
"TasmanianDev69/TasmanianDev69","https://github.com/TasmanianDev69/TasmanianDev69","Config files for my GitHub profile.",,"0","0","False","2022-12-01T21:19:23Z","2022-12-01T21:19:23Z","2022-12-01T21:19:23Z","config;github-config"
"S198/tasmania","https://github.com/S198/tasmania",,,"0","0","False","2020-03-29T08:28:38Z","2020-03-29T08:28:38Z","2020-03-29T08:28:39Z",""
"aykai530/Tasmania","https://github.com/aykai530/Tasmania",,"HTML","0","0","False","2025-06-01T12:50:56Z","2025-06-01T12:51:32Z","2025-06-01T12:51:29Z",""
"nickfountainjones/PracticalsKPZ312","https://github.com/nickfountainjones/PracticalsKPZ312","R code and vignettes for Research Methods in Biology KPZ312 at the University of Tasmania",,"0","2","False","2020-03-01T23:33:26Z","2020-03-09T22:15:31Z","2020-03-09T22:15:30Z",""
"LeLeGazze/Tasmania","https://github.com/LeLeGazze/Tasmania","An Assignment of Tasmania.","HTML","0","0","False","2026-04-28T06:22:53Z","2026-04-28T10:47:24Z","2026-04-28T10:47:20Z",""
"reginaraine/TasmanianTigersOLD","https://github.com/reginaraine/TasmanianTigersOLD",,"HTML","0","0","False","2023-06-06T06:58:26Z","2023-06-07T12:06:42Z","2023-06-07T11:39:45Z",""
"HammerOfMelkor/TasmanianHighlandsGolfClub","https://github.com/HammerOfMelkor/TasmanianHighlandsGolfClub",,"HTML","0","0","False","2023-09-14T06:32:47Z","2024-11-19T01:23:27Z","2024-11-19T01:23:23Z",""
"tasmania584/tasmania584.github.io","https://github.com/tasmania584/tasmania584.github.io",,"HTML","0","0","False","2020-03-12T02:34:11Z","2020-03-12T08:20:35Z","2020-03-12T08:20:34Z",""
"Tazzzz06/tasmania","https://github.com/Tazzzz06/tasmania",,"Python","0","0","False","2025-02-14T10:30:00Z","2025-02-14T10:32:45Z","2025-02-14T10:32:41Z",""
"mjacksonscentia/tasmania","https://github.com/mjacksonscentia/tasmania",,,"0","0","False","2017-10-17T02:35:02Z","2017-10-17T02:35:02Z","2017-10-17T02:35:03Z",""
"justinmathias/TasmaniaVegetation","https://github.com/justinmathias/TasmaniaVegetation",,"R","0","0","False","2023-02-23T04:40:36Z","2023-02-23T04:43:32Z","2023-05-23T18:23:05Z",""
"herbiemolina/TasmanianWolf","https://github.com/herbiemolina/TasmanianWolf",,"HTML","0","0","False","2019-03-06T19:30:07Z","2019-03-06T19:41:20Z","2019-03-06T19:41:18Z",""
"Tasmaniandevil08/Tasmaniandevil0420","https://github.com/Tasmaniandevil08/Tasmaniandevil0420",,,"0","0","False","2023-02-12T22:16:00Z","2023-02-12T22:16:00Z","2023-02-12T22:16:00Z",""
"mdbench/TasmaniaWeb","https://github.com/mdbench/TasmaniaWeb","TasmaniaWeb is a lightweight, deployable web application that enables note-taking straight from a browser.","HTML","0","0","False","2025-09-29T04:45:21Z","2026-02-27T06:18:56Z","2026-02-05T21:53:10Z",""
"iddle254/tasmania","https://github.com/iddle254/tasmania",,"JavaScript","1","0","False","2022-05-13T19:56:10Z","2023-03-07T15:10:55Z","2022-05-14T05:23:37Z",""
"edinaldo31/tasmania","https://github.com/edinaldo31/tasmania",,,"0","0","False","2017-06-30T21:46:22Z","2017-06-30T21:46:22Z","2017-06-30T21:46:22Z",""
"markoinh/Tasmania","https://github.com/markoinh/Tasmania",,"CSS","0","0","False","2021-02-21T01:08:35Z","2021-02-21T01:11:24Z","2021-02-21T01:09:53Z",""
"namedummy568-stack/TasmanianMarineData","https://github.com/namedummy568-stack/TasmanianMarineData","Marine data for Tasmania, including cetacean sightings.",,"0","0","False","2025-09-22T07:26:28Z","2025-09-22T07:26:29Z","2025-09-22T07:26:29Z",""
"sllnycrfst/tasmania","https://github.com/sllnycrfst/tasmania",,,"0","0","False","2025-07-08T12:40:27Z","2025-07-08T12:40:27Z","2025-07-08T12:40:27Z",""
"JorgeRodriguezGonzalez/tasmania-roofing","https://github.com/JorgeRodriguezGonzalez/tasmania-roofing","tasmania roofing website",,"0","0","False","2025-10-24T03:43:12Z","2025-10-24T03:43:12Z","2025-10-24T03:43:12Z",""
"dentalimplanttasmania/dental-implants-tasmania1","https://github.com/dentalimplanttasmania/dental-implants-tasmania1",,"HTML","0","0","False","2025-09-25T05:38:19Z","2025-09-25T05:38:58Z","2025-09-25T05:38:54Z",""
"pam-ai-coder/tasmania","https://github.com/pam-ai-coder/tasmania","7 days Overland Track","HTML","0","0","False","2026-03-28T04:58:44Z","2026-03-28T05:43:27Z","2026-03-28T05:43:24Z",""
"xylosdevops/TasmanianTraders-Rancher-Compose","https://github.com/xylosdevops/TasmanianTraders-Rancher-Compose",,,"0","0","False","2016-12-11T17:53:19Z","2016-12-11T17:53:19Z","2016-12-11T17:57:01Z",""
"web-helper/quit-tasmania","https://github.com/web-helper/quit-tasmania","Quit Tasmania Project","PHP","0","0","False","2019-08-22T01:11:35Z","2019-09-10T08:10:41Z","2019-08-19T08:41:31Z",""
"alexanderhayward1995/Soundbites-tas","https://github.com/alexanderhayward1995/Soundbites-tas","Soundbites rockin' Tasmania! ","HTML","0","0","False","2026-04-13T13:34:37Z","2026-04-14T07:10:41Z","2026-04-14T07:10:37Z",""
"kvaes/TasmanianTraders-IaC-sqlserver","https://github.com/kvaes/TasmanianTraders-IaC-sqlserver",,,"0","0","True","2017-05-05T20:00:07Z","2023-01-28T17:46:57Z","2017-05-05T20:38:47Z",""
"kvaes/TasmanianTraders-batch-wordcountwithappinsights","https://github.com/kvaes/TasmanianTraders-batch-wordcountwithappinsights","PoC-code forked/cleaned up from Azure Batch Samples","C#","0","0","True","2019-02-26T17:31:30Z","2023-01-28T17:46:57Z","2019-03-02T21:59:24Z",""
"kvaes/TasmanianTraders-Docker-Website","https://github.com/kvaes/TasmanianTraders-Docker-Website","Code for a static docker website which is used in multiple demo's : VSTS, ACR, ACS, SF, ...","HTML","0","0","True","2017-08-14T18:30:10Z","2023-01-28T17:46:57Z","2017-08-16T12:33:06Z",""
"Eric0420/TSG","https://github.com/Eric0420/TSG","Tasmania Shopping Guide","Kotlin","0","0","False","2022-05-04T13:57:25Z","2022-05-04T14:46:59Z","2022-10-02T00:49:21Z",""
"TasmanianAngel/TasmanianAngel.github.io","https://github.com/TasmanianAngel/TasmanianAngel.github.io",,,"0","0","False","2023-02-05T01:36:16Z","2023-02-05T03:20:30Z","2023-02-05T08:31:24Z",""
"tfsbrigades/Tasmania-brigades","https://github.com/tfsbrigades/Tasmania-brigades","Tasmania TFS brigades","HTML","0","0","False","2025-08-16T02:08:06Z","2025-08-16T04:51:24Z","2025-08-16T04:51:20Z",""
"xylosdevops/TasmanianTraders-IaC-Network","https://github.com/xylosdevops/TasmanianTraders-IaC-Network",,"PowerShell","0","0","False","2016-11-03T19:22:47Z","2016-11-03T20:06:53Z","2016-11-30T11:24:33Z",""
"kvaes/TasmanianTraders-Pattern-IngestionZone","https://github.com/kvaes/TasmanianTraders-Pattern-IngestionZone",,"HCL","0","0","True","2019-09-03T11:51:56Z","2023-01-28T08:02:44Z","2019-09-04T12:32:06Z",""
"kvaes/TasmanianTraders-Pattern-ADF_Batch_Storage","https://github.com/kvaes/TasmanianTraders-Pattern-ADF_Batch_Storage",,,"0","0","True","2019-06-17T12:13:12Z","2023-01-28T17:46:58Z","2019-06-17T18:05:45Z",""
"kvaes/TasmanianTraders-Terraform-SecureClosedLoop","https://github.com/kvaes/TasmanianTraders-Terraform-SecureClosedLoop","An example project to help you do secure landscaping in Azure","HCL","1","1","True","2019-01-22T10:56:51Z","2023-01-28T17:46:58Z","2019-01-22T11:12:22Z",""
"xylosdevops/TasmanianTraders-IaC-Webapp","https://github.com/xylosdevops/TasmanianTraders-IaC-Webapp",,,"0","0","False","2016-11-24T18:50:08Z","2016-11-24T18:50:08Z","2016-11-24T19:07:33Z",""
"stanley0212/TasEats","https://github.com/stanley0212/TasEats","Tasmania food delivery","Java","0","0","False","2021-04-03T14:11:54Z","2022-05-09T12:21:56Z","2022-05-09T12:21:52Z",""
"kvaes/TasmanianTraders-IoT-LoadTester","https://github.com/kvaes/TasmanianTraders-IoT-LoadTester","A small load generator for Azure Event Hubs","JavaScript","0","0","True","2017-08-24T15:31:47Z","2023-01-28T17:46:57Z","2017-08-25T07:45:23Z",""
"kvaes/TasmanianTraders-Docker-LightweightAzureFunctions","https://github.com/kvaes/TasmanianTraders-Docker-LightweightAzureFunctions",,"Dockerfile","0","0","True","2019-11-06T19:17:09Z","2023-01-28T08:02:44Z","2019-11-06T19:21:32Z",""
"prudhvibsecure/Tasmanian","https://github.com/prudhvibsecure/Tasmanian",,"Java","0","0","False","2017-01-27T11:18:57Z","2017-01-27T11:19:19Z","2017-01-27T11:19:17Z",""
"Tasmaniasex/Tasmaniasex","https://github.com/Tasmaniasex/Tasmaniasex","Config files for my GitHub profile.",,"0","0","False","2024-08-01T01:34:47Z","2024-08-01T01:34:47Z","2024-08-01T01:34:47Z","config;github-config"
"xylosdevops/TasmanianTraders-Functions-IoT","https://github.com/xylosdevops/TasmanianTraders-Functions-IoT",,"Python","0","0","False","2016-11-15T20:09:00Z","2016-11-15T20:22:13Z","2016-11-17T21:33:39Z",""
"kvaes/TasmanianTraders-IoT-ProtocolGateway","https://github.com/kvaes/TasmanianTraders-IoT-ProtocolGateway","super simple server that receive udp datagrams and send as json over amqp to iot hub","JavaScript","0","1","True","2018-07-06T10:32:26Z","2023-01-28T17:46:57Z","2018-07-06T11:15:35Z",""
"kvaes/TasmanianTraders-B2C-Website","https://github.com/kvaes/TasmanianTraders-B2C-Website","Small B2C Demo","PHP","0","0","True","2017-10-31T21:04:03Z","2023-01-28T17:46:57Z","2017-10-31T22:34:33Z",""
"mtiller/tasmanian","https://github.com/mtiller/tasmanian","Repository for building a Docker image with Tasmanian pre-installed",,"0","0","False","2018-04-26T18:14:13Z","2018-12-20T19:53:09Z","2018-04-26T21:14:53Z",""
"mdsumner/applemile","https://github.com/mdsumner/applemile","Tasmania the spatial state","HTML","0","0","False","2017-07-29T10:37:20Z","2017-07-29T10:41:18Z","2017-07-29T10:41:16Z",""
"kvaes/TasmanianTraders-IaC-IPv6WebFarm","https://github.com/kvaes/TasmanianTraders-IaC-IPv6WebFarm","Deploy an IPv6 eLB with backend pool powered by two Ubuntu systems in an Availability Set, each publishing a Wordpress container.",,"0","0","True","2018-07-05T13:24:16Z","2023-01-28T17:46:57Z","2018-07-06T07:37:51Z",""
"xylosdevops/TasmanianTraders-IaC-ActiveDirectory-Automation","https://github.com/xylosdevops/TasmanianTraders-IaC-ActiveDirectory-Automation",,,"0","0","False","2016-11-09T18:15:32Z","2016-11-09T18:15:32Z","2016-11-09T19:35:12Z",""
"kvaes/TasmanianTraders-Shell-AzCopy_Companion_Scripts","https://github.com/kvaes/TasmanianTraders-Shell-AzCopy_Companion_Scripts","Just a repo to keep scripts that come in handy from time to time!","Shell","0","0","True","2019-03-15T10:45:51Z","2023-01-28T17:46:58Z","2019-04-03T20:34:12Z",""
"pjmurray/tasmaniacs","https://github.com/pjmurray/tasmaniacs",,"JavaScript","0","0","False","2021-09-09T10:16:42Z","2021-09-13T11:07:34Z","2021-09-13T11:07:31Z",""
"vanDemonian/TAS_data","https://github.com/vanDemonian/TAS_data","Tasmania specific data sets",,"0","0","False","2016-06-28T05:09:07Z","2021-12-02T10:21:45Z","2016-09-20T03:14:22Z",""
"tjrwls883/tasmaniac","https://github.com/tjrwls883/tasmaniac",,"HTML","1","0","False","2017-03-07T10:53:51Z","2019-04-02T10:51:43Z","2017-03-07T10:10:31Z",""
"xylosdevops/TasmanianTraders-IaC-ActiveDirectory","https://github.com/xylosdevops/TasmanianTraders-IaC-ActiveDirectory",,"PowerShell","0","0","False","2016-11-03T19:23:21Z","2016-11-04T19:41:45Z","2016-11-05T11:48:04Z",""
"prajwal60/Tasmanianr","https://github.com/prajwal60/Tasmanianr","Jon's Reserve","HTML","0","0","False","2024-05-15T01:44:52Z","2024-05-15T03:34:32Z","2024-05-15T03:22:41Z",""
"kvaes/TasmanianTraders-NuxtJS-AzureStorageExample","https://github.com/kvaes/TasmanianTraders-NuxtJS-AzureStorageExample","Sample application using NuxtJS (VueJS) to connect to Azure Storage by using AAD (user_impersonation / implicit flow)","Vue","0","0","True","2019-07-22T11:22:45Z","2023-01-28T17:21:03Z","2019-07-22T11:33:53Z",""
"darkmovertas/tas-motorcycle-dkt","https://github.com/darkmovertas/tas-motorcycle-dkt","Tasmania Motorcycle Practice DKT","HTML","0","0","False","2026-04-03T22:10:05Z","2026-04-14T08:57:13Z","2026-04-14T08:57:10Z",""
"kvaes/TasmanianTraders-IoT-ConnectedVehicle","https://github.com/kvaes/TasmanianTraders-IoT-ConnectedVehicle","A container simulating a connected vehicle which can be used for demo & load test purposes towards an Azure IoT Hub","JavaScript","0","1","True","2017-08-28T09:15:39Z","2023-01-28T17:46:57Z","2017-11-02T11:50:29Z",""
"kvaes/TasmanianTraders-Docker-FrietjesOfNietAI","https://github.com/kvaes/TasmanianTraders-Docker-FrietjesOfNietAI","Export of an Azure Custom Vision AI Model for #FrietjesOfNiet","Python","0","1","True","2018-09-11T11:48:51Z","2023-01-28T17:46:57Z","2018-09-11T12:38:41Z",""
"prameshKc/Total-Hair-Beauty-Tasmania","https://github.com/prameshKc/Total-Hair-Beauty-Tasmania","Total Hair & Beauty Tasmania","TypeScript","0","0","False","2026-01-04T08:38:20Z","2026-01-04T08:38:42Z","2026-01-04T08:38:39Z",""
"tinnamchoi/hare-clark-cpp","https://github.com/tinnamchoi/hare-clark-cpp","C++ library for an electoral system used in Tasmania and the Australian Capital Territory","C++","3","0","False","2024-03-13T10:35:54Z","2024-10-15T19:14:10Z","2024-10-15T19:14:07Z","cpp;electoral-systems;hare-clark;library;voting-system"
"Veryboredcat/tasmanianwildcall","https://github.com/Veryboredcat/tasmanianwildcall","files for the website","HTML","0","0","False","2025-06-02T21:50:07Z","2025-06-02T21:54:55Z","2025-06-02T21:54:52Z",""
"saihoooooooo/tasmaniandevil","https://github.com/saihoooooooo/tasmaniandevil","Colorscheme based on wombat colorscheme. - https://github.com/vim-scripts/Wombat","VimL","0","0","False","2013-09-20T10:03:12Z","2014-03-20T10:30:26Z","2014-03-20T10:30:27Z",""
"LNSOTOM/forestGISML","https://github.com/LNSOTOM/forestGISML","Supervised machine learning for predicting and interpreting dynamic drivers of plantation forest productivity in northern Tasmania, Australia","Python","4","1","False","2020-09-03T00:43:52Z","2024-11-24T06:53:59Z","2023-04-17T04:18:09Z","geopandas;lime;machine-learning-algorithms;numpy;pysal;python3;scikit-learn;scikitlearn-machine-learning;scipy"
"JeppeDruedahl/TASMANIAN","https://github.com/JeppeDruedahl/TASMANIAN",,"C++","1","0","False","2021-02-10T09:56:03Z","2021-02-12T22:16:51Z","2021-02-10T13:13:30Z",""
"DamienIrving/hydrotas","https://github.com/DamienIrving/hydrotas","UNSEEN analysis for Hydro Tasmania","Jupyter Notebook","0","0","False","2023-04-04T07:19:45Z","2023-04-05T04:53:21Z","2023-05-04T22:28:58Z",""
"mave1/KIT301---Mapping-Crime-Walks","https://github.com/mave1/KIT301---Mapping-Crime-Walks","An app to take tourists on crime walks of Tasmania","Dart","2","0","False","2024-03-06T10:43:48Z","2025-09-17T01:43:38Z","2024-10-30T05:07:05Z",""
"travelens/tasmania-2018","https://github.com/travelens/tasmania-2018","Tasmania Spring 2018 trip to Hobart and Freycinet","Astro","0","0","False","2023-04-10T07:14:19Z","2025-03-04T04:23:48Z","2025-03-04T04:23:42Z",""
"LSA31/Tasmania_project","https://github.com/LSA31/Tasmania_project","발달장애 아동의 설문 참여를 돕기 위한 Drag and Drop Interface","Dart","0","0","False","2024-10-14T15:41:49Z","2026-01-11T12:00:01Z","2024-10-24T07:21:22Z",""
"TPetro4/tasmanian-devil","https://github.com/TPetro4/tasmanian-devil",,,"0","0","False","2020-10-23T22:51:22Z","2020-10-23T22:51:22Z","2020-10-23T22:51:23Z",""
"disclosurelogs/au-tas-register-of-lobbyists","https://github.com/disclosurelogs/au-tas-register-of-lobbyists","Tasmania Register of Lobbyists","Ruby","0","0","False","2014-02-18T08:17:20Z","2015-09-02T08:25:21Z","2016-01-04T10:18:43Z",""
"travistyzero/hydro-web","https://github.com/travistyzero/hydro-web","Visualise Hydro Tasmania Dam Levels ","JavaScript","0","0","False","2016-04-13T04:14:29Z","2016-04-13T04:14:46Z","2016-05-03T00:47:15Z",""
"Bigben83/tasmanian_planbuild","https://github.com/Bigben83/tasmanian_planbuild","Tasmania LGA's using Planbuild","Ruby","0","0","False","2025-08-05T04:03:19Z","2025-08-06T21:53:07Z","2025-08-06T21:53:04Z",""
"prameshKc/NEST","https://github.com/prameshKc/NEST","Nepali Society Of Tasmania","TypeScript","0","0","False","2025-08-12T11:44:08Z","2025-08-12T11:51:04Z","2025-08-12T11:51:01Z",""
"GD-Tasmania/GD-Tasmania","https://github.com/GD-Tasmania/GD-Tasmania","Config files for my GitHub profile.",,"0","0","False","2022-04-27T04:21:15Z","2022-04-27T04:21:15Z","2022-04-27T04:21:16Z","config;github-config"
"kasun1986/project-A","https://github.com/kasun1986/project-A","project files university of Tasmania",,"0","0","False","2023-08-24T10:27:23Z","2023-08-24T10:27:23Z","2023-08-24T10:34:14Z",""
"TheABX/tasmanianmouldremediation","https://github.com/TheABX/tasmanianmouldremediation",,"TypeScript","0","0","False","2026-01-13T02:03:14Z","2026-01-18T05:43:35Z","2026-01-18T05:43:31Z",""
"tasmaniangoat/tasmaniangoat","https://github.com/tasmaniangoat/tasmaniangoat","Config files for my GitHub profile.",,"0","0","False","2022-03-12T21:08:24Z","2022-03-12T21:08:24Z","2022-03-12T21:08:25Z","config;github-config"
"maedi/maedirides","https://github.com/maedi/maedirides","My rides around Tasmania","HTML","0","0","False","2012-10-16T09:21:19Z","2016-04-25T02:45:26Z","2015-06-08T05:36:10Z",""
"saddharmawarsha/Saddharmawarsha-Tasmania","https://github.com/saddharmawarsha/Saddharmawarsha-Tasmania",,,"0","0","False","2026-04-04T00:05:55Z","2026-04-04T00:05:55Z","2026-04-04T00:05:55Z",""
"FerdianFy13/Tasmanian-Devil","https://github.com/FerdianFy13/Tasmanian-Devil","Tasmanian Devil Information website","SCSS","1","0","False","2022-11-14T01:39:55Z","2023-03-07T03:31:42Z","2022-11-29T03:24:28Z",""
"FeldrinH/TASmaniac","https://github.com/FeldrinH/TASmaniac","Ambidextro TAS tool","GDScript","1","0","False","2025-05-17T15:27:20Z","2026-01-19T22:56:03Z","2026-01-19T22:55:59Z",""
"siskavera/tasmanian-devil","https://github.com/siskavera/tasmanian-devil","Spatially explicit, individual-based framework to model the spread of DFTD in Tasmania","Matlab","1","0","False","2017-09-25T08:56:59Z","2021-02-05T09:19:12Z","2018-02-21T14:31:00Z",""
"markoinh/Roam-Tasmania","https://github.com/markoinh/Roam-Tasmania",,"HTML","0","0","False","2026-04-18T10:34:47Z","2026-04-18T10:37:12Z","2026-04-18T10:37:04Z",""
"nonfictionalsomm/Tasmania-Interactive","https://github.com/nonfictionalsomm/Tasmania-Interactive",,"HTML","0","0","False","2025-10-18T01:46:33Z","2025-10-18T01:46:46Z","2025-10-18T01:46:43Z",""
"nirmitgarg/tasmania-plan","https://github.com/nirmitgarg/tasmania-plan",,,"0","0","False","2026-01-13T12:25:13Z","2026-01-13T12:47:47Z","2026-01-13T12:47:43Z",""
"sllnycrfst/discover-tasmania","https://github.com/sllnycrfst/discover-tasmania",,"JavaScript","0","0","False","2025-07-08T12:07:52Z","2025-07-08T12:38:16Z","2025-07-08T12:38:13Z",""
"mjec/wwc-tasmania","https://github.com/mjec/wwc-tasmania","Automate Tasmanian working with children check verification","Python","0","0","True","2014-11-24T09:47:25Z","2026-03-24T19:29:00Z","2017-07-22T21:21:01Z",""
"TripMomentIntern/2026_Tasmania","https://github.com/TripMomentIntern/2026_Tasmania","塔斯馬尼亞 7 日極致漫遊：從星空到雨林的感官覺醒 深入澳洲最南端的島州，時刻旅行旅途企劃團隊為您量身打造這趟為期 7 天的避世之旅。穿梭於古老的搖籃山雨林、探索酒杯灣的純淨海岸，並在無光害的南半球穹頂下捕捉神秘南極光。這不僅是一次自駕之旅，更是一場洗滌心靈的生態與文化朝聖。我們以最高規格的實地考察，為您梳理出最真實的南半球秘境指南。 - Deployed by EZPage","HTML","0","0","False","2026-05-02T03:29:31Z","2026-05-02T03:29:38Z","2026-05-02T03:29:35Z",""
"Hildacareau/NDIS-Tasmania","https://github.com/Hildacareau/NDIS-Tasmania",,,"0","0","False","2025-07-15T12:53:59Z","2025-07-15T12:54:03Z","2025-07-15T12:57:16Z",""
"macca7224/tasmania-streaks","https://github.com/macca7224/tasmania-streaks",,"JavaScript","0","0","False","2023-07-01T09:13:16Z","2023-07-01T09:26:04Z","2023-07-04T08:57:04Z",""
"ztgreene/tasmanian_devils","https://github.com/ztgreene/tasmanian_devils","An analysis of the difference between sexes of devils suffering from facial tumour","R","0","0","False","2021-10-13T01:03:53Z","2021-10-13T01:09:04Z","2021-10-13T01:09:02Z",""
"markoinh/RoamTasmania","https://github.com/markoinh/RoamTasmania",,"JavaScript","0","0","False","2026-04-18T09:52:46Z","2026-04-18T10:06:22Z","2026-04-18T10:06:18Z",""
"AlineRo/tasmania_rwd","https://github.com/AlineRo/tasmania_rwd","atividade da semana","HTML","0","0","False","2021-05-09T00:00:37Z","2021-05-09T00:10:17Z","2021-05-09T00:10:15Z",""
"lisa-craw/tasmania_airbnbs","https://github.com/lisa-craw/tasmania_airbnbs","plotting Tasmanian Airbnb data","Python","1","0","False","2023-03-07T05:24:32Z","2023-05-31T01:13:58Z","2023-03-16T03:13:26Z",""
"chrisatkinson9/RSV_Tasmania","https://github.com/chrisatkinson9/RSV_Tasmania","Repository of RSV phylogenetic trees and fishplots (Tasmania)",,"0","0","False","2024-04-04T02:34:09Z","2025-04-29T01:40:23Z","2025-04-29T01:40:20Z",""
"GitToby/awesome-tasmania","https://github.com/GitToby/awesome-tasmania",,"TypeScript","0","0","True","2023-12-13T23:23:20Z","2026-03-13T17:50:49Z","2024-01-03T23:46:48Z",""
